#Datasets	CMB001.A0101.unmapped.75bp	CMB002.A0101.unmapped.75bp	CMB003.A0101.unmapped.75bp	CMB004.A0101.unmapped.75bp	CMB005.A0101.unmapped.75bp	CMB006.A0101.unmapped.75bp	CMB007.A0101.unmapped.75bp	CMB008.A0101.unmapped.75bp	CS01.unmapped.75bp	CS02.unmapped.75bp	CS03.unmapped.75bp	CS04.unmapped.75bp	CS07.unmapped.75bp	CS08.unmapped.75bp	CS09.unmapped.75bp	CS10.unmapped.75bp	CS11.unmapped.75bp	CS12.unmapped.75bp	CS13.unmapped.75bp	CS14.unmapped.75bp	CS15.unmapped.75bp	CS16.unmapped.75bp	CS17.unmapped.75bp	CS18.unmapped.75bp	CS19.unmapped.75bp	CS20.unmapped.75bp	CS21.unmapped.75bp	CS22.unmapped.75bp	CS23.unmapped.75bp	CS24.unmapped.75bp	CS26.unmapped.75bp	CS27.unmapped.75bp	CS28.unmapped.75bp	CS29.unmapped.75bp	CS30.unmapped.75bp	CS31.unmapped.75bp	CS32.unmapped.75bp	CS33.unmapped.75bp	CS34.unmapped.75bp	CS35.unmapped.75bp	CS36.unmapped.75bp	CS37.unmapped.75bp	CS38.unmapped.75bp	CS39.unmapped.75bp	CS40.unmapped.75bp	CS42.unmapped.75bp	CS43.unmapped.75bp	CS44.unmapped.75bp	CS45.unmapped.75bp	CS46.unmapped.75bp	CS47.unmapped.75bp	CS48.unmapped.75bp	ELR003.A0101.unmapped.75bp	ELR004.A0101.unmapped.75bp	ELR006.A0101.unmapped.75bp	ELR008.A0101.unmapped.75bp	ELR010.A0101.unmapped.75bp	IVE002.B0101.unmapped.75bp	IVE003.A0101.unmapped.75bp	IVE005.A0101.unmapped.75bp	IVE005.B0101.unmapped.75bp	IVE007.B0101.unmapped.75bp	JAE006.A0101.unmapped.75bp	JAE007.A0101.unmapped.75bp	JAE008.A0101.unmapped.75bp	JAE009.A0101.unmapped.75bp	JAE010.A0101.unmapped.75bp	JAE012.A0101.unmapped.75bp	JAE013.A0101.unmapped.75bp	JAE014.A0101.unmapped.75bp	JAE015.A0101.unmapped.75bp	JAE016.A0101.unmapped.75bp	KT01calc.unmapped.75bp	KT02calc.unmapped.75bp	KT03calc.unmapped.75bp	KT04calc.unmapped.75bp	KT05calc.unmapped.75bp	KT06calc.unmapped.75bp	KT07calc.unmapped.75bp	KT08calc.unmapped.75bp	KT09calc.unmapped.75bp	KT10calc.unmapped.75bp	KT11calc.unmapped.75bp	KT12calc.unmapped.75bp	KT13calc.unmapped.75bp	KT14calc.unmapped.75bp	KT15calc.unmapped.75bp	KT16calc.unmapped.75bp	KT17calc.unmapped.75bp	KT18calc.unmapped.75bp	KT19calc.unmapped.75bp	KT20calc.unmapped.75bp	KT21calc.unmapped.75bp	KT22calc.unmapped.75bp	KT23calc.unmapped.75bp	KT24calc.unmapped.75bp	KT25calc.unmapped.75bp	KT26calc.unmapped.75bp	KT27calc.unmapped.75bp	KT28calc.unmapped.75bp	KT29calc.unmapped.75bp	KT30calc.unmapped.75bp	KT31calc.unmapped.75bp	KT32calc.unmapped.75bp	KT33calc.unmapped.75bp	KT34calc.unmapped.75bp	KT35calc.unmapped.75bp	KT36calc.unmapped.75bp	MID022.A0101.unmapped.75bp	MID023.A0101.unmapped.75bp	MID024.A0101.unmapped.75bp	MID025.A0101.unmapped.75bp	MID026.A0101.unmapped.75bp	MID027.A0101.unmapped.75bp	MID028.A0101.unmapped.75bp	MID029.A0101.unmapped.75bp	MID030.A0101.unmapped.75bp	MID031.A0101.unmapped.75bp	MID032.A0101.unmapped.75bp	MID033.A0101.unmapped.75bp	MID034.A0101.unmapped.75bp	MID035.A0101.unmapped.75bp	MID036.A0101.unmapped.75bp	MID037.A0101.unmapped.75bp	MID038.A0101.unmapped.75bp	MID039.A0101.unmapped.75bp	MID040.A0101.unmapped.75bp	MID041.A0101.unmapped.75bp	MID042.A0101.unmapped.75bp	MID043.A0101.unmapped.75bp	MID044.A0101.unmapped.75bp	MID045.A0101.unmapped.75bp	MID046.A0101.unmapped.75bp	MID047.A0101.unmapped.75bp	MID048.A0101.unmapped.75bp	MID049.A0101.unmapped.75bp	MID050.A0101.unmapped.75bp	MID051.A0101.unmapped.75bp	MID052.A0101.unmapped.75bp	MID053.A0101.unmapped.75bp	MID054.A0101.unmapped.75bp	MID055.A0101.unmapped.75bp	MID056.A0101.unmapped.75bp	MID057.A0101.unmapped.75bp	MID058.A0101.unmapped.75bp	MID059.A0101.unmapped.75bp	MID060.A0101.unmapped.75bp	MID061.A0101.unmapped.75bp	MID062.A0101.unmapped.75bp	MID063.A0101.unmapped.75bp	MID064.A0101.unmapped.75bp	MID065.A0101.unmapped.75bp	MID066.A0101.unmapped.75bp	MID067.A0101.unmapped.75bp	MID068.A0101.unmapped.75bp	MID068.B0101.unmapped.75bp	MID070.A0101.unmapped.75bp	MID071.A0101.unmapped.75bp	MID072.A0101.unmapped.75bp	MID073.A0101.unmapped.75bp	MID074.A0101.unmapped.75bp	MID075.A0101.unmapped.75bp	MID076.A0101.unmapped.75bp	MID077.A0101.unmapped.75bp	MID078.A0101.unmapped.75bp	MID079.A0101.unmapped.75bp	MID080.A0101.unmapped.75bp	MID081.A0101.unmapped.75bp	MID082.A0101.unmapped.75bp	MID083.A0101.unmapped.75bp	MID084.A0101.unmapped.75bp	MID085.A0101.unmapped.75bp	MID086.A0101.unmapped.75bp	MID087.A0101.unmapped.75bp	MID088.A0101.unmapped.75bp	MID089.A0101.unmapped.75bp	MID090.A0101.unmapped.75bp	MID091.A0101.unmapped.75bp	MID092.A0101.unmapped.75bp	MID093.A0101.unmapped.75bp	MID094.A0101.unmapped.75bp	MID097.A0101.unmapped.75bp	MID101.A0101.unmapped.75bp	MID102.A0101.unmapped.75bp
"Luteitalea pratensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	783.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Endomicrobium trichonymphae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium proavitum"	0.0	0.0	0.0	0.0	0.0	0.0	606.0	0.0	0.0	0.0	287.0	0.0	0.0	0.0	554.0	0.0	1201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1552.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	0.0	0.0	254.0	288.0	1090.0	782.0	0.0	0.0	0.0	0.0	0.0	826.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.0	0.0	0.0	0.0	0.0	0.0	0.0	1158.0	2155.0	1787.0	459.0	0.0	985.0	0.0	2086.0	0.0	0.0	415.0	0.0	0.0	0.0	337.0	1522.0	807.0	0.0	0.0	0.0	4455.0	779.0	0.0	1148.0	1197.0	0.0	0.0	0.0	0.0	703.0	0.0	477.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"uncultured Termite group 1 bacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodothermaceae bacterium RA"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides heparinolyticus"	0.0	401.0	0.0	0.0	0.0	0.0	0.0	766.0	712.0	0.0	0.0	1086.0	2575.0	0.0	0.0	2777.0	0.0	2522.0	0.0	558.0	1719.0	635.0	1101.0	259.0	0.0	0.0	0.0	20693.0	0.0	4652.0	493.0	84.0	2665.0	2365.0	0.0	3735.0	1691.0	0.0	0.0	3866.0	2382.0	2022.0	376.0	0.0	218.0	0.0	0.0	1997.0	674.0	1646.0	1138.0	16.0	0.0	692.0	0.0	0.0	0.0	0.0	576.0	1034.0	0.0	0.0	0.0	0.0	0.0	10700.0	0.0	0.0	0.0	2229.0	1777.0	4410.0	1233.0	0.0	0.0	307.0	0.0	138.0	468.0	1117.0	191.0	329.0	0.0	504.0	236.0	306.0	684.0	148.0	0.0	470.0	1544.0	1232.0	0.0	276.0	270.0	349.0	442.0	929.0	149.0	323.0	619.0	554.0	1420.0	227.0	6631.0	0.0	950.0	1357.0	0.0	1909.0	524.0	737.0	413.0	0.0	278.0	0.0	0.0	3966.0	303.0	2994.0	1485.0	347.0	497.0	751.0	0.0	0.0	4978.0	0.0	0.0	1498.0	2937.0	950.0	565.0	370.0	342.0	737.0	2102.0	370.0	1094.0	713.0	6115.0	633.0	14482.0	1056.0	727.0	1162.0	296.0	1225.0	3802.0	295.0	718.0	562.0	482.0	1036.0	1762.0	299.0	2630.0	774.0	421.0	4661.0	3957.0	610.0	2202.0	928.0	528.0	1493.0	890.0	534.0	836.0	732.0	1521.0	731.0	2173.0	0.0	0.0	980.0	0.0	666.0	1992.0	2198.0	0.0	1977.0	4772.0	2145.0
"Bacteroides pyogenes"	0.0	798.0	0.0	194.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	856.0	0.0	0.0	0.0	0.0	264.0	0.0	254.0	0.0	0.0	0.0	0.0	939.0	0.0	1414.0	1561.0	0.0	0.0	307.0	0.0	0.0	1635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	621.0	0.0	0.0	164.0	0.0	750.0	220.0	0.0	1143.0	352.0	0.0	201.0	626.0	0.0	767.0	605.0	432.0	495.0	0.0	894.0	0.0	0.0	0.0	854.0	1446.0	514.0	929.0	598.0	250.0	437.0	360.0	0.0	334.0	191.0	452.0	308.0	0.0	0.0	528.0	0.0	0.0	0.0	0.0	0.0	423.0	0.0	0.0	0.0	1368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	242.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	384.0	0.0	0.0	0.0	0.0	0.0	569.0	0.0	415.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	523.0	0.0	0.0	1187.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides vulgatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1099.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides zoogleoformans"	0.0	267.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.0	1435.0	0.0	451.0	0.0	0.0	1953.0	649.0	1250.0	0.0	0.0	0.0	0.0	1550.0	0.0	328.0	0.0	100.0	606.0	0.0	0.0	1262.0	0.0	389.0	0.0	859.0	380.0	944.0	0.0	0.0	217.0	0.0	0.0	887.0	0.0	2491.0	830.0	20.0	184.0	0.0	0.0	683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2693.0	0.0	0.0	0.0	4700.0	2746.0	10906.0	0.0	0.0	0.0	0.0	0.0	0.0	177.0	0.0	92.0	0.0	0.0	0.0	187.0	218.0	807.0	0.0	105.0	432.0	0.0	1158.0	0.0	0.0	0.0	309.0	187.0	280.0	0.0	0.0	277.0	242.0	445.0	0.0	575.0	0.0	261.0	406.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0	492.0	481.0	354.0	304.0	946.0	1231.0	0.0	0.0	0.0	438.0	448.0	0.0	0.0	0.0	737.0	1153.0	0.0	653.0	0.0	0.0	1721.0	0.0	0.0	728.0	806.0	0.0	1125.0	517.0	0.0	0.0	670.0	0.0	2550.0	282.0	0.0	0.0	0.0	527.0	993.0	0.0	614.0	0.0	561.0	1819.0	410.0	0.0	1407.0	0.0	0.0	0.0	0.0	446.0	991.0	503.0	813.0	0.0	243.0	367.0	365.0	0.0	0.0	1044.0	331.0	609.0	0.0	576.0	0.0	495.0
"Bacteroides sp. 3_1_13"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum acetatigenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum saccharofermentans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Odoribacter splanchnicus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	379.0	0.0	0.0
