#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	VLC010.A0101.sub10M.metaphlan3	VLC009.A0101.sub10M.metaphlan3	VLC008.A0101.sub10M.metaphlan3	VLC005.A0101.sub10M.metaphlan3	VLC004.A0101.sub10M.metaphlan3	VLC003.A0101.sub10M.metaphlan3	VLC002.A0101.sub10M.metaphlan3	VLC001.A0101.sub10M.metaphlan3	MID102.A0101.sub10M.metaphlan3	MID101.A0101.sub10M.metaphlan3	MID097.A0101.sub10M.metaphlan3	MID094.A0101.sub10M.metaphlan3	MID093.A0101.sub10M.metaphlan3	MID092.A0101.sub10M.metaphlan3	MID091.A0101.sub10M.metaphlan3	MID090.A0101.sub10M.metaphlan3	MID089.A0101.sub10M.metaphlan3	MID088.A0101.sub10M.metaphlan3	MID087.A0101.sub10M.metaphlan3	MID086.A0101.sub10M.metaphlan3	MID085.A0101.sub10M.metaphlan3	MID084.A0101.sub10M.metaphlan3	MID083.A0101.sub10M.metaphlan3	MID082.A0101.sub10M.metaphlan3	MID081.A0101.sub10M.metaphlan3	MID080.A0101.sub10M.metaphlan3	MID079.A0101.sub10M.metaphlan3	MID078.A0101.sub10M.metaphlan3	MID077.A0101.sub10M.metaphlan3	MID076.A0101.sub10M.metaphlan3	MID075.A0101.sub10M.metaphlan3	MID074.A0101.sub10M.metaphlan3	MID073.A0101.sub10M.metaphlan3	MID072.A0101.sub10M.metaphlan3	MID071.A0101.sub10M.metaphlan3	MID070.A0101.sub10M.metaphlan3	MID068.B0101.sub10M.metaphlan3	MID068.A0101.sub10M.metaphlan3	MID067.A0101.sub10M.metaphlan3	MID066.A0101.sub10M.metaphlan3	MID065.A0101.sub10M.metaphlan3	MID064.A0101.sub10M.metaphlan3	MID063.A0101.sub10M.metaphlan3	MID062.A0101.sub10M.metaphlan3	MID061.A0101.sub10M.metaphlan3	MID060.A0101.sub10M.metaphlan3	MID059.A0101.sub10M.metaphlan3	MID058.A0101.sub10M.metaphlan3	MID057.A0101.sub10M.metaphlan3	MID056.A0101.sub10M.metaphlan3	MID055.A0101.sub10M.metaphlan3	MID054.A0101.sub10M.metaphlan3	MID053.A0101.sub10M.metaphlan3	MID052.A0101.sub10M.metaphlan3	MID051.A0101.sub10M.metaphlan3	MID050.A0101.sub10M.metaphlan3	MID049.A0101.sub10M.metaphlan3	MID048.A0101.sub10M.metaphlan3	MID047.A0101.sub10M.metaphlan3	MID046.A0101.sub10M.metaphlan3	MID045.A0101.sub10M.metaphlan3	MID044.A0101.sub10M.metaphlan3	MID043.A0101.sub10M.metaphlan3	MID042.A0101.sub10M.metaphlan3	MID041.A0101.sub10M.metaphlan3	MID040.A0101.sub10M.metaphlan3	MID039.A0101.sub10M.metaphlan3	MID038.A0101.sub10M.metaphlan3	MID037.A0101.sub10M.metaphlan3	MID036.A0101.sub10M.metaphlan3	MID035.A0101.sub10M.metaphlan3	MID034.A0101.sub10M.metaphlan3	MID033.A0101.sub10M.metaphlan3	MID032.A0101.sub10M.metaphlan3	MID031.A0101.sub10M.metaphlan3	MID030.A0101.sub10M.metaphlan3	MID029.A0101.sub10M.metaphlan3	MID028.A0101.sub10M.metaphlan3	MID027.A0101.sub10M.metaphlan3	MID026.A0101.sub10M.metaphlan3	MID025.A0101.sub10M.metaphlan3	MID024.A0101.sub10M.metaphlan3	MID023.A0101.sub10M.metaphlan3	MID022.A0101.sub10M.metaphlan3	KT36calc.sub10M.metaphlan3	KT35calc.sub10M.metaphlan3	KT34calc.sub10M.metaphlan3	KT33calc.sub10M.metaphlan3	KT32calc.sub10M.metaphlan3	KT31calc.sub10M.metaphlan3	KT30calc.sub10M.metaphlan3	KT29calc.sub10M.metaphlan3	KT28calc.sub10M.metaphlan3	KT27calc.sub10M.metaphlan3	KT26calc.sub10M.metaphlan3	KT25calc.sub10M.metaphlan3	KT24calc.sub10M.metaphlan3	KT23calc.sub10M.metaphlan3	KT22calc.sub10M.metaphlan3	KT21calc.sub10M.metaphlan3	KT20calc.sub10M.metaphlan3	KT19calc.sub10M.metaphlan3	KT18calc.sub10M.metaphlan3	KT17calc.sub10M.metaphlan3	KT16calc.sub10M.metaphlan3	KT15calc.sub10M.metaphlan3	KT14calc.sub10M.metaphlan3	KT13calc.sub10M.metaphlan3	KT12calc.sub10M.metaphlan3	KT11calc.sub10M.metaphlan3	KT10calc.sub10M.metaphlan3	KT09calc.sub10M.metaphlan3	KT08calc.sub10M.metaphlan3	KT07calc.sub10M.metaphlan3	KT06calc.sub10M.metaphlan3	KT05calc.sub10M.metaphlan3	KT04calc.sub10M.metaphlan3	KT03calc.sub10M.metaphlan3	KT02calc.sub10M.metaphlan3	KT01calc.sub10M.metaphlan3	JAE016.A0101.sub10M.metaphlan3	JAE015.A0101.sub10M.metaphlan3	JAE014.A0101.sub10M.metaphlan3	JAE013.A0101.sub10M.metaphlan3	JAE012.A0101.sub10M.metaphlan3	JAE010.A0101.sub10M.metaphlan3	JAE009.A0101.sub10M.metaphlan3	JAE008.A0101.sub10M.metaphlan3	JAE007.A0101.sub10M.metaphlan3	JAE006.A0101.sub10M.metaphlan3	IVE007.B0101.sub10M.metaphlan3	IVE005.B0101.sub10M.metaphlan3	IVE005.A0101.sub10M.metaphlan3	IVE003.A0101.sub10M.metaphlan3	IVE002.B0101.sub10M.metaphlan3	ELR010.A0101.sub10M.metaphlan3	ELR008.A0101.sub10M.metaphlan3	ELR006.A0101.sub10M.metaphlan3	ELR004.A0101.sub10M.metaphlan3	ELR003.A0101.sub10M.metaphlan3	CS48.sub10M.metaphlan3	CS47.sub10M.metaphlan3	CS46.sub10M.metaphlan3	CS45.sub10M.metaphlan3	CS44.sub10M.metaphlan3	CS43.sub10M.metaphlan3	CS42.sub10M.metaphlan3	CS40.sub10M.metaphlan3	CS39.sub10M.metaphlan3	CS38.sub10M.metaphlan3	CS37.sub10M.metaphlan3	CS36.sub10M.metaphlan3	CS35.sub10M.metaphlan3	CS34.sub10M.metaphlan3	CS33.sub10M.metaphlan3	CS32.sub10M.metaphlan3	CS31.sub10M.metaphlan3	CS30.sub10M.metaphlan3	CS29.sub10M.metaphlan3	CS28.sub10M.metaphlan3	CS27.sub10M.metaphlan3	CS26.sub10M.metaphlan3	CS24.sub10M.metaphlan3	CS23.sub10M.metaphlan3	CS22.sub10M.metaphlan3	CS21.sub10M.metaphlan3	CS20.sub10M.metaphlan3	CS19.sub10M.metaphlan3	CS18.sub10M.metaphlan3	CS17.sub10M.metaphlan3	CS16.sub10M.metaphlan3	CS15.sub10M.metaphlan3	CS14.sub10M.metaphlan3	CS13.sub10M.metaphlan3	CS12.sub10M.metaphlan3	CS11.sub10M.metaphlan3	CS10.sub10M.metaphlan3	CS09.sub10M.metaphlan3	CS08.sub10M.metaphlan3	CS07.sub10M.metaphlan3	CS04.sub10M.metaphlan3	CS03.sub10M.metaphlan3	CS02.sub10M.metaphlan3	CS01.sub10M.metaphlan3	CMB008.A0101.sub10M.metaphlan3	CMB007.A0101.sub10M.metaphlan3	CMB006.A0101.sub10M.metaphlan3	CMB005.A0101.sub10M.metaphlan3	CMB004.A0101.sub10M.metaphlan3	CMB003.A0101.sub10M.metaphlan3	CMB002.A0101.sub10M.metaphlan3	CMB001.A0101.sub10M.metaphlan3
k__Archaea	2157	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.13793	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0.3625	0	0.00559	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.98839	0.32699	0	78.85128	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.04881	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_gottschalkii	2157|28890|183925|2158|2159|2172|190974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00531	0	0	0	0	0.01775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis	2157|28890|183925|2158|2159|2172|66851	0	0	0	0	0.3625	0	0	0.55185	31.14785	3.91726	19.17022	5.2687	16.68147	10.14968	54.53778	0	29.05486	41.35263	3.78506	8.24739	5.47449	13.20803	2.59014	13.37799	18.00809	2.75582	0.1332	12.11921	4.29586	27.2873	22.92885	15.05569	13.7607	13.56971	2.53136	8.35396	1.31617	8.76483	7.32932	11.75696	7.15144	45.26484	24.93456	17.3098	0	26.14959	7.36616	32.34004	14.15574	2.17247	23.05704	0.40945	38.24567	26.3468	0	33.55966	9.01296	14.53661	0.82286	67.68726	37.6518	1.53035	9.71381	0.29033	18.08941	18.45746	0	0.1473	15.98839	0.32699	0	78.83353	41.40528	43.55288	25.06973	24.75881	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38221	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.19961	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.01146	0	0.78764	1.02323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.27985	0.64123	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.49302	64.77662	9.26357	16.53245	1.66547	4.03393	13.21028	55.63856	1.89212	0.63698	51.0028	22.58848	0.29699	0.24561	1.27753	20.7854	2.0197	68.06125	0.91695	0.11115	25.47327	1.04983	0	18.19466	3.32934	46.36885	15.24918	1.23728	30.74674	0.00868	0	3.51161	79.63399	62.03834	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	0.00559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified	2157|651137||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_archaeon_CSP1_1	2157|651137|||||1640512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
